Benchmark Data,Timeslots,Penalty,Timeslots,After Largest Degree,After Kempe,After Pairswap
car-f-92,32,3.74,44,8.56175688148108,3.703784135946577,3.5912916010641185
car-s-91,35,4.42,46,9.269542097488921,4.8293648449039885,4.693471196454948
kfu-s-93,20,12.69,27,42.54832679005422,10.81641428304356,9.994765376705926
tre-s-92,23,7.75,27,13.43073394495413,8.12637614678899,7.968577981651376
yor-f-83,21,34.84,27,49.70244420828905,30.499468650371945,30.421891604675878
