Benchmark Data,Timeslots,Penalty,Timeslots,After Largest Degree,After Kempe,After Pairswap
car-f-92,32,3.74,29,10.107117650252457,6.436722949128617,6.373093001791628
car-s-91,35,4.42,30,13.428655834564253,8.17754800590842,8.11149187592319
kfu-s-93,20,12.69,19,46.88035146756403,19.49298934380258,18.21461955505702
tre-s-92,23,7.75,23,15.927981651376147,10.281422018348623,10.21605504587156
yor-f-83,21,34.84,21,60.60998937300744,42.59086078639745,42.51859723698193
