Benchmark Data, Timeslots, After Largest Degree, After Kempe, After Pairswap
car-f-92,32,9.475052934469842,5.1974591454476355,5.170041804658234
car-s-91,34,10.468478581979321,6.60903988183161,6.545406203840472
kfu-s-93,20,36.65339315759955,15.839970087866892,15.092166760142083
tre-s-92,23,14.131651376146788,9.60940366972477,9.477522935779817
yor-f-83,23,49.82996811902232,33.46333687566419,33.16684378320935
