Benchmark Data,Timeslots,Penalty,Timeslots,After Largest Degree,After Kempe,After Pairswap
car-f-92,32,3.74,35,10.696020413703241,4.96595906400999,4.862967587816928
car-s-91,35,4.42,36,13.780974889217134,6.41341211225997,6.319409158050221
kfu-s-93,20,12.69,21,54.51205832865956,15.065619742007852,14.655823518414657
tre-s-92,23,7.75,22,16.329816513761468,10.724311926605505,10.642660550458716
yor-f-83,21,34.84,25,63.270988310308184,31.629117959617428,31.30499468650372
